timestamp,file,uploaded_name,final_pnl,first_pnl,points,note
2026-04-18 05:29:51,rt_top075_002.py,45-rt_top075_002.py,8986.140625,-19.64453125,500,unique robustness top075 002
2026-04-18 05:31:48,rt_nomicro_002.py,46-rt_nomicro_002.py,8914.0625,-19.64453125,500,unique robustness no micro/depth 002
2026-04-18 05:34:48,main_final_round2_top05.py,47-main_final_round2_top05.py,8646.8125,-205.04296875,500,final active upload: top05 winner logic
2026-04-18 10:53:57,s9700_one_sided.py,53-s9700_one_sided.py,8817.625,-205.04296875,500,structural: take favorable one-sided osmium liquidity (rescored existing upload)
2026-04-18 10:56:54,s9700_wallmid_void_sign.py,54-s9700_wallmid_void_sign.py,8774.34375,-19.64453125,500,structural: void-skew wallmid sign alpha
2026-04-18 10:58:50,s9700_wallmid_micro_sign.py,55-s9700_wallmid_micro_sign.py,8766.34375,42.45703125,500,structural: microprice sign alpha
2026-04-18 11:00:46,s9700_gamma_wallmid.py,56-s9700_gamma_wallmid.py,8977.0625,-62.1015625,500,structural: inventory gamma target plus wallmid vote
2026-04-18 11:02:53,s9700_wallmid_vote.py,57-s9700_wallmid_vote.py,8839.5,-19.64453125,500,structural: top/micro/void sign vote
2026-04-18 11:04:49,s9700_pepper_sweep_one_sided.py,58-s9700_pepper_sweep_one_sided.py,8686.9375,-205.04296875,500,structural: one-sided osmium plus aggressive pepper entry
2026-04-18 11:10:49,w9700_plain_mm_001.py,59-w9700_plain_mm_001.py,9000.46875,-19.64453125,500,existing family retest: pure MM plus pepper hold
2026-04-18 11:12:45,w9700_pressure_size_001.py,60-w9700_pressure_size_001.py,8808.46875,-19.64453125,500,existing family retest: pressure size alpha
2026-04-18 11:14:51,w9700_raw_alpha_001.py,61-w9700_raw_alpha_001.py,9037.53125,-62.1015625,500,existing family retest: raw alpha
2026-04-19 20:02:56,web_pepper_line_mm_001.py,63-web_pepper_line_mm_001.py,9194.2333984375,-205.04296875,500,pepper 70 core buy-hold plus 10 linear-residual MM sleeve
2026-04-19 20:58:54,web_pepper_line_mm_60_20_001.py,64-web_pepper_line_mm_60_20_001.py,8078.53125,-7.64453125,500,pepper 60 core buy-hold plus 20 linear-residual MM sleeve
